1,"Apakah yang ditunjukkan oleh perjumpaan Yusuf dengan adik-beradiknya dalam Kejadian 45?","Penyelamatan Allah","Dosa adik-beradik","Kedua-duanya","Tiada makna","C","Genesis 45:1-15"
1,"Apakah yang ditunjukkan oleh pemberian tanah Gosyen kepada keluarga Yakub dalam Kejadian 47?","Penyelamatan Allah","Kekayaan Yusuf","Tiada makna","Hukuman kepada Yakub","A","Genesis 47:6"
1,"Apakah yang ditunjukkan oleh kematian Abraham dalam Kejadian 25:8?","Iman kepada janji Allah","Kekayaan Abraham","Tiada makna","Hukuman kepada Abraham","A","Genesis 25:8"
1,"Apakah yang ditunjukkan oleh kematian Sara dalam Kejadian 23:2?","Kesedihan Abraham","Kekayaan Abraham","Tiada makna","Hukuman kepada Sara","A","Genesis 23:2"
1,"Apakah yang ditunjukkan oleh kematian Ishak dalam Kejadian 35:29?","Iman kepada janji Allah","Kekayaan Ishak","Tiada makna","Hukuman kepada Ishak","A","Genesis 35:29"
1,"Apakah yang ditunjukkan oleh pemberian nama kepada Set dalam Kejadian 4:25?","Harapan Hawa","Kekayaan Adam","Tiada makna","Hukuman kepada Hawa","A","Genesis 4:25"
1,"Apakah yang ditunjukkan oleh pemberian nama kepada Nuh dalam Kejadian 5:29?","Harapan Lamekh","Kekayaan Lamekh","Tiada makna","Hukuman kepada Lamekh","A","Genesis 5:29"
1,"Apakah yang ditunjukkan oleh pemberian nama kepada Sem dalam Kejadian 9:18?","Harapan Nuh","Kekayaan Nuh","Tiada makna","Hukuman kepada Sem","A","Genesis 9:18"
1,"Apakah yang ditunjukkan oleh pemberian nama kepada Ham dalam Kejadian 9:18?","Harapan Nuh","Kekayaan Nuh","Tiada makna","Hukuman kepada Ham","A","Genesis 9:18"
1,"Apakah yang ditunjukkan oleh pemberian nama kepada Yafet dalam Kejadian 9:18?","Harapan Nuh","Kekayaan Nuh","Tiada makna","Hukuman kepada Yafet","A","Genesis 9:18"
